Bezirke,absolut 2023,aufgeklärt 2023,Prozent (%) 2023,absolut 2024,aufgeklärt 2024,Prozent (%) 2024
Bezirk Hamburg Mitte,"89,413","51,022","57,1","84,474","48,262","57,1"
Bezirk Altona,"24,981","11,085","44,4","24,511","10,933","44,6"
Bezirk Eimsbüttel,"18,592","7,034","37,8","18,534","6,568","35,4"
Bezirk Nord,"28,790","12,665","44,0","27,669","12,369","44,7"
Bezirk Wandsbek,"30,205","13,468","44,6","28,851","12,820","44,4"
Bezirk Bergedorf,"10,828","5,250","48,5","8,827","4,355","49,3"
Bezirk Harburg,"17,627","9,471","53,7","17,590","9,355","53,2"
Bezirke insgesamt,220.436,109.995,"49,9","210,456","104,662","49,7"
Hamburg unbekannt,"8,018","2,451","30,6","9,096","2,478","27,2"
Tatort unbekannt,"5,787","5,221","9,0","5,361",607,"11,3"
Hamburg insgesamt,234.241,"112,967","48,2","224,913","107,747","47,9"